,正式名称,id,年,所属,ライセンス,営業収入,スポンサー収入,入場料収入,Jリーグ配分金,アカデミー関連収入,女子チーム関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,その他売上原価,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産(資産の部),流動負債,固定負債,総負債(負債の部),資本金,資本剰余金等,利益剰余金,純資産(純資産の部),順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,年間総入場者数,年間ホーム試合数
磐田,ジュビロ磐田,13,2023,J2,J1,4254,2675,530,223,150,0,413,263,3734,1413,402,346,395,0,306,2,870,520,26,11,535,0,0,535,73,462,Null,707,1172,1879,1055,94,1149,679,0,51,730,2,75,1.7857,219373,21,10953,3,0,0,0,0,230326,24
藤枝,藤枝MYFC,49,2023,J2,J1,805,414,102,104,20,3,60,102,696,265,56,104,26,9,33,0,203,109,7,1,115,0,0,115,0,115,Null,264,72,336,106,89,195,90,239,-188,141,12,52,1.2381,66048,21,0,0,0,0,0,0,66048,21
岡山,ファジアーノ岡山,32,2023,J2,J1,1937,861,248,117,0,0,161,550,2009,715,154,125,0,0,136,363,516,-72,17,4,-59,0,0,-59,1,-60,244,865,410,1275,617,394,1011,77,210,-23,264,10,58,1.3810,178393,21,0,0,0,0,0,0,178393,21
山口,レノファ山口FC,33,2023,J2,J1,1098,611,125,109,40,4,101,108,1085,406,100,124,122,12,58,0,263,13,1,10,4,0,0,4,0,4,100,659,65,724,323,131,454,100,92,78,270,20,44,1.0476,92552,21,0,0,0,0,0,0,92552,21
徳島,徳島ヴォルティス,35,2023,J2,J1,2092,1347,170,160,81,0,107,227,2089,984,96,253,185,0,97,0,474,3,12,0,15,0,0,15,13,2,53,2013,661,2674,1247,68,1315,409,0,950,1359,15,49,1.1667,125491,21,0,0,0,0,0,0,125491,21
長崎,V・ファーレン長崎,38,2023,J2,J1,2111,1240,182,113,64,0,202,310,3574,1799,229,291,246,0,171,0,838,-1463,1,4,-1466,1470,0,4,2,2,Null,2218,129,2347,2320,3,2323,350,0,-326,24,7,65,1.5476,153303,21,0,0,0,0,0,0,153303,21
熊本,ロアッソ熊本,39,2023,J2,J1,1228,459,155,103,0,0,87,424,1093,326,170,110,75,0,70,0,342,135,4,1,138,0,0,138,47,91,84,737,41,778,473,68,541,380,0,-143,237,14,49,1.1667,131842,21,0,0,0,0,0,0,131842,21
大分,大分トリニータ,40,2023,J2,J1,1861,738,334,166,46,0,224,353,1813,801,90,179,149,11,115,141,327,48,2,1,49,0,0,49,2,47,Null,472,119,591,424,31,455,134,134,-132,136,9,62,1.4762,193232,21,0,0,0,0,0,0,193232,21
八戸,ヴァンラーレ八戸,55,2023,J3,J2,494,296,13,21,0,0,32,132,515,126,31,67,0,0,32,57,202,-21,25,3,1,0,0,1,0,1,48,211,164,375,175,181,356,59,0,-40,19,7,56,1.4737,35916,19,0,0,0,0,0,0,35916,19
岩手,いわてグルージャ盛岡,41,2023,J3,J1,536,293,21,81,36,0,30,75,634,255,51,91,54,0,30,0,153,-98,17,0,-81,1,0,-80,2,-82,Null,188,48,236,149,0,149,405,122,-440,87,10,54,1.4211,23820,19,0,0,0,0,0,0,23820,19
福島,福島ユナイテッドFC,43,2023,J3,J2,403,261,19,20,20,0,33,50,499,157,40,70,36,0,16,32,148,-96,6,2,-92,0,0,-92,3,-95,14,147,16,163,50,106,156,224,0,-217,7,15,47,1.2368,23349,19,0,0,0,0,0,0,23349,19
YS横浜,Y.S.C.C.横浜,45,2023,J3,J2,209,121,25,18,0,0,9,36,305,113,63,35,0,0,10,0,84,-96,2,1,-95,0,0,-95,1,-96,117,23,6,29,35,78,113,52,28,-163,-83,12,52,1.3684,27920,19,0,0,0,0,0,0,27920,19
相模原,SC相模原,46,2023,J3,J2,486,240,45,62,73,0,40,26,1004,265,111,151,78,0,55,0,344,-518,19,5,-504,0,73,-577,0,-577,Null,547,10,557,59,1018,1077,24,0,-544,-520,18,41,1.0789,43847,19,0,0,0,0,0,0,43847,19
