,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数,総入場者数,ホーム総試合数
富山,カターレ富山,48,2020,J3,J1,548,382,22,27,51,21,45,499,180,37,77,23,0,14,168,49,9,1,57,0,0,57,0,57,0,206,9,215,105,10,115,97,28,-24,101,9,50,1.4706,20681,17,0,0,0,0,0,0,0,0,20681,17
藤枝,藤枝MYFC,49,2020,J3,J2,293,222,8,26,8,9,20,363,178,18,61,2,3,8,93,-70,8,0,-62,56,0,-6,0,-6,131,72,29,101,20,79,99,70,238,-306,2,10,49,1.4412,11617,17,0,0,0,0,0,0,0,0,11617,17
沼津,アスルクラロ沼津,50,2020,J3,J3,369,204,8,27,46,34,50,394,128,27,51,2,0,34,152,-25,12,2,-15,0,0,-15,0,-15,0,110,132,242,82,130,212,96,16,-82,30,12,41,1.2059,15720,17,0,0,0,0,0,0,0,0,15720,17
岐阜,FC岐阜,30,2020,J3,J1,853,534,39,120,35,48,77,841,333,88,84,50,0,49,237,12,5,0,17,0,0,17,0,17,0,377,8,385,48,110,158,80,457,-310,226,6,56,1.6471,44942,17,0,0,0,0,0,0,0,0,44942,17
鳥取,ガイナーレ鳥取,51,2020,J3,J2,283,118,25,27,42,19,52,463,114,15,46,21,0,9,258,-180,29,8,-159,0,2,-161,0,-161,0,72,291,363,135,386,521,231,167,-556,-158,5,57,1.6765,13731,17,0,0,0,0,0,0,0,0,13731,17
讃岐,カマタマーレ讃岐,34,2020,J3,J2,396,207,24,27,35,29,74,467,189,46,65,22,0,19,126,-71,33,3,-41,0,1,-42,0,-42,0,167,3,170,20,60,80,77,77,-64,90,16,31,0.9118,14767,17,0,0,0,0,0,0,0,0,14767,17
今治,FC今治,56,2020,J3,J2,834,525,19,31,23,32,204,797,233,63,81,21,3,19,377,37,20,1,56,0,1,55,19,36,0,621,115,736,155,417,572,59,47,58,164,7,55,1.6176,23042,17,0,0,0,0,0,0,0,0,23042,17
熊本,ロアッソ熊本,39,2020,J3,J1,517,321,49,30,2,38,77,582,241,32,72,6,0,38,193,-65,35,2,-32,0,0,-32,2,-34,0,278,24,302,141,93,234,345,0,-277,68,8,54,1.5882,29111,17,0,0,0,0,0,0,0,0,29111,17
鹿児島,鹿児島ユナイテッドFC,53,2020,J3,J1,698,356,32,118,0,45,147,737,272,86,137,0,0,22,220,-39,3,2,-38,0,0,-38,0,-38,83,131,97,228,54,165,219,26,26,-43,9,4,58,1.7059,37635,17,0,0,0,0,0,0,0,0,37635,17
宮崎,テゲバジャーロ宮崎,57,2020,JFL,J3,189,170,1,0,7,4,7,180,80,1,33,4,0,3,59,9,1,0,10,0,0,10,6,4,0,250,14,264,22,1,23,168,163,-89,241,2,28,1.8667,4698,7,0,0,0,0,0,0,0,0,4698,7
