,正式名称,id,年,所属,ライセンス,営業収入,スポンサー収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
藤枝,藤枝MYFC,49,2021,J3,J2,358,274,12,28,14,21,9,359,176,13,71,3,3,11,82,-1,3,0,2,0,0,2,0,2,171,77,24,101,19,79,98,70,238,-305,3,10,32,1.1429,18516,14,0,0,0,0,0,0,18516,14
沼津,アスルクラロ沼津,50,2021,J3,J3,361,191,9,30,51,30,50,408,130,23,57,2,0,19,177,-47,9,2,-40,0,0,-40,0,-40,Null,114,117,231,88,153,241,96,16,-122,-10,14,27,0.9643,20753,14,0,0,0,0,0,0,20753,14
岐阜,FC岐阜,30,2021,J3,J1,750,465,49,32,55,70,79,881,373,65,106,68,0,53,216,-131,2,1,-130,0,0,-130,0,-130,Null,366,6,372,165,110,275,81,457,-441,97,6,41,1.4643,49071,14,0,0,0,0,0,0,49071,14
鳥取,ガイナーレ鳥取,51,2021,J3,J2,381,159,24,28,43,24,103,447,112,15,45,26,0,8,241,-66,3,6,-69,0,13,-82,0,-82,Null,29,268,297,152,385,537,231,167,-639,-241,12,29,1.0357,16604,14,0,0,0,0,0,0,16604,14
讃岐,カマタマーレ讃岐,34,2021,J3,J2,408,198,21,29,38,30,92,443,182,35,76,23,0,18,109,-35,9,13,-39,0,0,-39,0,-39,Null,163,2,165,25,90,115,77,76,-103,50,15,21,0.7500,20652,14,0,0,0,0,0,0,20652,14
今治,FC今治,56,2021,J3,J2,917,552,20,32,34,29,250,933,308,69,101,31,4,19,401,-16,21,2,3,0,0,3,1,2,0,650,1414,2064,189,400,589,50,1365,60,1475,11,30,1.0714,23249,14,0,0,0,0,0,0,23249,14
熊本,ロアッソ熊本,39,2021,J3,J1,550,319,52,33,0,44,102,587,242,29,60,0,0,40,216,-37,4,2,-35,0,0,-35,2,-37,Null,277,28,305,190,83,273,345,0,-314,31,1,54,1.9286,46783,14,0,0,0,0,0,0,46783,14
鹿児島,鹿児島ユナイテッドFC,53,2021,J3,J1,291,197,20,28,7,11,28,279,106,26,40,5,0,6,96,12,1,1,12,0,9,3,1,2,97,262,13,276,32,0,32,167,162,-86,243,7,40,1.4286,15742,14,0,0,0,0,0,0,15742,14
宮崎,テゲバジャーロ宮崎,57,2021,J3,J3,692,400,32,30,0,81,149,691,233,66,118,0,0,43,231,1,5,4,2,0,0,2,0,2,Null,189,104,293,101,180,281,26,26,-40,12,3,53,1.8929,52326,14,0,0,0,0,0,0,52326,14
いわき,いわきFC,58,2021,JFL,J3,528,380,21,0,6,45,76,654,220,15,57,16,0,29,317,-126,130,0,4,3,4,3,2,1,Null,122,127,249,210,7,217,5,0,27,32,1,71,2.2188,21288,16,0,0,0,0,0,0,21288,16
