,正式名称,id,年,所属,ライセンス,営業収入,スポンサー収入,入場料収入,Jリーグ配分金,アカデミー関連収入,女子チーム関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,その他売上原価,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産(資産の部),流動負債,固定負債,総負債(負債の部),資本金,資本剰余金等,利益剰余金,純資産(純資産の部),順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,年間総入場者数,年間ホーム試合数
C大阪,セレッソ大阪,15,2022,J1,J1,4216,2284,696,406,0,0,97,733,4031,2043,457,490,0,0,26,0,1015,185,6,104,87,0,0,87,30,57,Null,1237,150,1387,2175,358,2533,485,0,-1631,-1146,5,51,1.50,194260,17,48516,6,0,0,0,0,242776,23
神戸,ヴィッセル神戸,16,2022,J1,J1,6365,2146,827,548,245,0,567,2032,9488,4839,396,633,453,0,352,1313,1502,-3123,62,35,-3096,3110,14,0,3,-3,Null,1553,1949,3502,1971,141,2112,98,562,730,1390,13,40,1.18,264725,17,5647,1,0,0,7861,1,278233,19
広島,サンフレッチェ広島,17,2022,J1,J1,4017,1702,405,424,82,233,379,792,4603,2320,300,393,279,266,281,42,722,-586,44,9,-551,0,5,-556,4,-560,Null,1163,604,1767,925,630,1555,220,52,-60,212,3,55,1.62,178388,17,30976,6,0,0,0,0,209364,23
福岡,アビスパ福岡,37,2022,J1,J1,2829,1202,464,409,152,0,174,428,2814,1677,140,200,196,0,115,103,383,15,6,4,17,4,21,0,1,-1,Null,491,374,865,918,280,1198,372,442,-1147,-333,14,38,1.12,121545,17,20922,6,0,0,0,0,142467,23
鳥栖,サガン鳥栖,18,2022,J1,J1,2761,1046,557,406,60,0,224,468,2508,1088,137,166,193,0,166,347,411,253,10,65,198,3,0,201,23,178,Null,1005,45,1050,664,672,1336,394,225,-905,-286,11,42,1.24,159087,17,11763,3,0,0,0,0,170850,20
岩手,いわてグルージャ盛岡,41,2022,J2,J1,672,357,35,158,27,0,42,53,774,348,66,110,58,0,31,0,161,-102,11,0,-91,7,0,-84,3,-87,Null,295,34,329,150,10,160,405,122,-358,169,22,34,0.81,36724,21,0,0,0,0,0,0,36724,21
仙台,ベガルタ仙台,2,2022,J2,J1,2666,1754,316,303,63,0,16,214,2492,1062,102,254,258,0,3,375,438,174,24,6,192,0,10,182,28,154,Null,1150,442,1592,707,696,1403,780,327,-918,189,7,63,1.50,188810,21,0,0,0,0,0,0,188810,21
秋田,ブラウブリッツ秋田,42,2022,J2,J1,877,404,48,159,56,0,44,166,877,256,60,133,99,0,35,0,294,0,2,1,1,10,0,11,5,6,Null,267,39,306,104,110,214,57,52,-17,92,12,56,1.33,47952,21,0,0,0,0,0,0,47952,21
山形,モンテディオ山形,19,2022,J2,J1,2192,868,234,160,0,0,180,750,2195,787,146,199,0,0,125,503,435,-3,18,2,13,0,0,13,3,10,210,535,264,799,331,319,650,10,0,140,150,6,64,1.52,135463,21,0,0,0,0,0,0,135463,21
水戸,水戸ホーリーホック,20,2022,J2,J1,1024,507,90,160,24,0,78,165,1019,346,109,106,71,0,74,52,261,5,1,0,6,2,0,8,2,6,33,446,17,463,191,107,298,127,108,-70,165,13,54,1.29,65941,21,0,0,0,0,0,0,65941,21
栃木,栃木SC,44,2022,J2,J1,1041,546,116,155,76,0,84,64,1031,305,105,134,104,0,43,0,340,10,1,2,9,0,3,6,2,4,Null,441,90,531,186,131,317,315,115,-216,214,17,49,1.17,93010,21,0,0,0,0,0,0,93010,21
群馬,ザスパクサツ群馬,21,2022,J2,J1,717,344,80,159,0,0,59,75,773,338,89,102,18,0,36,15,175,-56,16,0,-40,0,0,-40,3,-43,Null,134,14,148,79,0,79,289,131,-351,69,20,42,1.00,64598,21,0,0,0,0,0,0,64598,21
大宮,大宮アルディージャ,5,2022,J2,J1,2638,1542,229,163,198,323,108,75,2354,583,175,243,309,203,45,6,790,284,17,8,293,0,0,293,93,200,Null,1088,647,1735,747,777,1524,100,240,-129,211,19,43,1.02,110707,21,0,0,0,0,0,0,110707,21
千葉,ジェフユナイテッド千葉,22,2022,J2,J1,2638,1700,225,157,127,146,139,144,2614,857,172,274,241,227,116,158,569,24,68,45,47,0,6,41,9,32,Null,1175,656,1831,767,627,1394,490,390,-443,437,10,61,1.45,121267,21,0,0,0,0,0,0,121267,21
東京V,東京ヴェルディ,23,2022,J2,J1,2116,560,154,160,194,374,141,533,2102,490,130,316,205,245,104,17,595,14,22,18,18,0,0,18,2,16,Null,611,110,721,778,432,1210,351,262,-1102,-489,9,61,1.45,104054,21,0,0,0,0,0,0,104054,21
町田,FC町田ゼルビア,24,2022,J2,J1,1919,1479,84,154,34,0,71,97,1878,744,183,219,106,0,52,13,561,41,2,0,43,0,40,3,2,1,Null,737,1052,1789,314,297,611,100,1335,-257,1178,15,51,1.21,68107,21,0,0,0,0,0,0,68107,21
横浜FC,横浜FC,25,2022,J2,J1,2861,1230,215,289,194,0,120,813,3068,1753,123,286,305,0,98,27,476,-207,50,18,-175,0,0,-175,1,-176,Null,641,528,1169,392,605,997,100,325,-253,172,2,80,1.90,106849,21,0,0,0,0,0,0,106849,21
甲府,ヴァンフォーレ甲府,10,2022,J2,J1,1564,749,189,165,19,0,154,288,1528,640,77,218,87,0,105,6,395,36,25,6,55,0,14,41,15,26,Null,659,184,843,354,183,537,367,0,-61,306,18,48,1.14,103531,21,0,0,0,0,0,0,103531,21
新潟,アルビレックス新潟,11,2022,J2,J1,2539,928,596,177,165,0,447,226,2543,756,255,219,269,0,316,0,728,-4,210,22,184,0,2,182,83,99,229,1719,753,2472,792,836,1628,100,612,132,844,1,84,2.00,314039,21,0,0,0,0,0,0,314039,21
金沢,ツエーゲン金沢,28,2022,J2,J1,863,329,63,156,66,0,84,165,865,325,65,119,91,0,53,17,195,-2,5,0,3,0,0,3,2,1,53,226,101,327,68,194,262,150,0,-85,65,14,52,1.24,71842,21,0,0,0,0,0,0,71842,21
岡山,ファジアーノ岡山,32,2022,J2,J1,1882,788,237,173,17,0,129,538,1877,579,156,159,34,0,85,281,583,5,23,4,24,0,0,24,7,17,Null,844,402,1246,531,420,951,62,196,37,295,3,72,1.71,148360,21,0,0,11854,1,0,0,160214,22
山口,レノファ山口FC,33,2022,J2,J1,1118,549,123,159,39,0,106,142,1065,425,89,129,32,11,53,56,270,53,22,1,74,0,1,73,0,73,Null,751,10,761,264,231,495,100,92,74,266,16,50,1.19,76879,21,0,0,0,0,0,0,76879,21
徳島,徳島ヴォルティス,35,2022,J2,J1,2222,1342,135,288,73,0,85,299,2186,1171,96,220,162,0,67,21,449,36,16,0,52,0,90,-38,-10,-28,Null,1126,675,1801,394,50,444,409,0,948,1357,8,62,1.48,88697,21,6403,3,0,0,0,0,95100,24
長崎,V・ファーレン長崎,38,2022,J2,J1,2064,1335,165,161,34,0,160,209,3017,1350,194,306,193,0,168,0,806,-953,4,2,-951,950,0,-1,3,-4,Null,1488,11,1499,1464,3,1467,350,0,-318,32,11,56,1.33,106280,21,0,0,0,0,0,0,106280,21
熊本,ロアッソ熊本,39,2022,J2,J1,978,403,157,169,0,0,70,179,884,301,84,97,62,0,58,1,281,94,8,1,101,0,0,101,20,81,Null,495,35,530,317,72,389,375,0,-234,141,4,67,1.60,84817,21,0,0,25247,2,0,0,110064,23
大分,大分トリニータ,40,2022,J2,J1,1827,674,319,294,44,0,225,271,2014,1070,98,184,140,8,124,104,286,-187,2,1,-186,0,0,-186,0,-186,Null,517,104,621,452,81,533,134,134,-180,88,5,66,1.57,138986,21,9240,3,0,0,0,0,148226,24
琉球,FC琉球,54,2022,J2,J1,1599,219,37,154,73,0,37,1079,1011,368,79,124,95,0,16,0,329,588,0,2,586,0,0,586,0,586,Null,865,18,883,101,102,203,98,221,361,680,21,37,0.88,41916,21,0,0,0,0,0,0,41916,21
八戸,ヴァンラーレ八戸,55,2022,J3,J2,401,206,10,28,0,0,32,125,415,108,24,53,0,0,31,13,186,-14,18,2,2,0,0,2,0,2,Null,193,146,339,144,177,321,59,-1,-40,18,10,43,1.26,25553,17,0,0,0,0,0,0,25553,17
福島,福島ユナイテッドFC,43,2022,J3,J2,431,249,19,28,21,0,34,80,456,132,38,63,32,0,17,19,155,-25,1,1,-25,0,0,-25,0,-25,Null,182,13,195,53,80,133,184,0,-122,62,11,42,1.24,24900,17,0,0,0,0,0,0,24900,17
いわき,いわきFC,58,2022,J3,J2,770,406,32,29,8,0,63,232,789,192,24,68,34,3,40,0,428,-19,28,0,9,0,0,9,1,8,Null,167,118,285,239,6,245,5,0,35,40,1,76,2.24,36960,17,0,0,0,0,0,0,36960,17
YS横浜,Y.S.C.C.横浜,45,2022,J3,J2,158,89,21,32,0,0,10,6,215,64,45,32,0,0,8,0,66,-57,2,1,-56,0,0,-56,1,-57,Null,84,7,91,12,78,90,40,28,-67,1,16,28,0.82,21981,17,0,0,0,0,0,0,21981,17
相模原,SC相模原,46,2022,J3,J2,762,427,48,129,86,0,35,37,780,232,73,81,85,0,25,0,284,-18,12,0,-6,0,1,-7,11,-18,Null,97,30,127,51,19,70,24,0,34,58,18,25,0.74,32869,17,0,0,0,0,0,0,32869,17
松本,松本山雅FC,27,2022,J3,J1,1510,839,274,129,23,0,126,119,1640,512,149,161,104,0,79,218,417,-130,28,0,-102,0,10,-112,1,-113,Null,796,282,1078,212,118,330,209,0,539,748,4,66,1.94,142812,17,0,0,0,0,0,0,142812,17
長野,AC長野パルセイロ,47,2022,J3,J2,758,358,61,31,41,173,13,81,780,177,41,77,75,119,3,2,286,-22,0,0,-22,0,0,-22,0,-22,Null,123,23,146,47,86,133,50,25,-62,13,8,52,1.53,56243,17,0,0,0,0,0,0,56243,17
富山,カターレ富山,48,2022,J3,J1,677,414,44,30,81,0,52,56,837,278,66,100,115,0,41,0,237,-160,13,6,-153,0,0,-153,0,-153,Null,80,6,86,41,7,48,139,70,-171,38,6,60,1.76,48826,17,0,0,0,0,0,0,48826,17
藤枝,藤枝MYFC,49,2022,J3,J2,405,297,23,29,16,0,13,27,405,201,21,71,8,7,7,0,90,0,4,1,3,0,0,3,0,3,Null,77,49,126,39,81,120,70,239,-303,6,2,67,1.97,29689,17,0,0,0,0,0,0,29689,17
沼津,アスルクラロ沼津,50,2022,J3,J3,434,230,16,28,45,0,66,49,406,94,23,57,15,0,41,0,176,28,7,3,32,127,125,34,0,34,201,189,95,284,105,155,260,96,16,-88,24,15,31,0.91,28624,17,0,0,0,0,0,0,28624,17
岐阜,FC岐阜,30,2022,J3,J1,877,466,79,32,73,0,81,146,1010,411,120,94,88,0,62,86,149,-133,2,1,-132,0,0,-132,0,-132,Null,474,5,479,205,109,314,50,688,-573,165,14,37,1.09,71291,17,0,0,0,0,0,0,71291,17
鳥取,ガイナーレ鳥取,51,2022,J3,J2,486,198,32,30,50,0,74,102,472,114,18,47,36,0,7,0,250,14,3,6,11,0,3,8,3,5,Null,49,249,298,149,385,534,231,167,-634,-236,12,41,1.21,29672,17,0,0,0,0,0,0,29672,17
讃岐,カマタマーレ讃岐,34,2022,J3,J2,406,196,29,29,41,0,24,87,448,133,38,77,65,0,16,0,119,-40,8,11,-43,0,0,-43,0,-43,Null,187,3,190,46,90,136,100,100,-146,54,17,27,0.79,30688,17,0,0,0,0,0,0,30688,17
愛媛,愛媛FC,36,2022,J3,J1,788,351,45,124,88,66,43,71,785,274,36,98,122,37,36,0,182,3,11,1,13,0,0,13,2,11,Null,222,133,355,77,29,106,409,-1,-158,249,7,52,1.53,49941,17,0,0,0,0,0,0,49941,17
今治,FC今治,56,2022,J3,J2,1045,617,34,33,35,0,60,266,1088,304,106,120,65,19,20,43,411,-43,55,2,10,0,0,10,3,7,14,939,1406,2345,206,384,590,50,1638,67,1755,5,60,1.76,39435,17,0,0,0,0,0,0,39435,17
北九州,ギラヴァンツ北九州,52,2022,J3,J1,1023,494,100,121,95,0,53,160,1003,307,70,102,163,0,44,103,214,20,1,1,20,0,3,17,7,10,Null,347,146,493,79,222,301,31,124,37,192,13,40,1.18,61417,17,0,0,0,0,0,0,61417,17
宮崎,テゲバジャーロ宮崎,57,2022,J3,J3,325,209,23,28,8,0,13,44,318,101,31,44,26,0,12,0,104,7,1,0,8,0,0,8,2,6,Null,269,12,281,32,0,32,100,144,5,249,9,46,1.35,21562,17,0,0,0,0,0,0,21562,17
鹿児島,鹿児島ユナイテッドFC,53,2022,J3,J1,759,397,41,31,0,0,126,164,793,232,74,138,0,0,69,2,278,-34,2,4,-36,0,0,-36,0,-36,125,214,70,284,42,164,206,78,77,-77,78,3,66,1.94,80579,17,0,0,0,0,0,0,80579,17
