,正式名称,id,年,所属,ライセンス,営業収入,スポンサー収入,入場料収入,Jリーグ配分金,アカデミー関連収入,女子チーム関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,その他売上原価,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産(資産の部),流動負債,固定負債,総負債(負債の部),資本金,資本剰余金等,利益剰余金,純資産(純資産の部),順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,年間総入場者数,年間ホーム試合数
札幌,北海道コンサドーレ札幌,1,2022,J1,J1,3605,1488,630,446,27,0,295,719,4514,1814,504,444,187,0,239,388,938,-909,111,13,-811,144,41,-708,9,-717,Null,1897,137,2034,462,1157,1619,1736,826,-2146,416,10,45,1.32,207654,17,18210,4,0,0,0,0,225864,21
鹿島,鹿島アントラーズ,3,2022,J1,J1,6116,2608,801,432,208,0,761,1306,6932,2998,367,426,367,0,580,248,1946,-816,150,11,-677,0,0,-677,0,-677,Null,3295,1974,5269,3188,207,3395,2257,832,-1215,1874,4,52,1.53,274729,17,25859,4,0,0,0,0,300588,21
浦和,浦和レッズ,4,2022,J1,J1,8127,4048,1439,567,26,96,1119,832,7700,2853,499,559,238,303,859,159,2230,427,88,23,492,0,0,492,80,412,212,758,2318,3076,1591,180,1771,273,113,919,1305,9,45,1.32,401489,17,50334,2,0,0,0,0,451823,19
FC東京,FC東京,7,2022,J1,J1,5274,2559,893,630,353,0,449,390,5361,2538,324,400,456,0,329,9,1305,-87,49,25,-63,0,112,-175,7,-182,Null,3054,19,3073,590,44,634,1762,575,102,2439,6,49,1.44,379256,17,19178,3,0,0,0,0,398434,20
川崎,川崎フロンターレ,8,2022,J1,J1,6979,3235,1048,553,224,0,885,1034,6762,3018,275,535,310,0,684,0,1940,217,41,0,258,0,0,258,83,175,Null,1398,3125,4523,1847,83,1930,349,31,2213,2593,2,66,1.94,304971,17,13877,1,0,0,0,0,318848,18
横浜FM,横浜F・マリノス,9,2022,J1,J1,6481,1866,1019,1076,0,0,922,1598,6470,3415,370,500,0,0,545,15,1625,11,59,64,6,86,85,7,-1,8,833,794,1189,1983,1640,261,1901,99,6,-23,82,1,68,2.00,336782,17,9255,1,0,0,0,0,346037,18
清水,清水エスパルス,12,2022,J1,J1,5087,3016,723,456,331,0,164,397,5044,2209,301,815,433,0,34,75,1177,43,40,8,75,0,63,12,0,12,Null,336,913,1249,764,398,1162,90,0,-3,87,17,33,0.97,259165,17,16961,3,0,0,0,0,276126,20
磐田,ジュビロ磐田,13,2022,J1,J1,3232,1830,348,414,136,0,196,308,2899,1304,293,222,315,0,140,2,623,333,23,13,343,0,0,343,53,290,Null,500,858,1358,653,437,1090,679,0,-411,268,18,30,0.88,169015,17,14047,3,0,0,0,0,183062,20
名古屋,名古屋グランパス,29,2022,J1,J1,6091,3737,698,423,200,0,558,475,5915,2817,368,374,403,0,346,843,764,176,91,121,146,635,0,781,57,724,Null,1312,203,1515,846,242,1088,105,0,322,427,8,46,1.35,319818,17,31319,5,0,0,0,0,351137,22
京都,京都サンガF.C.,31,2022,J1,J1,3288,1898,573,415,138,0,91,173,3096,1706,189,226,269,0,53,0,653,192,41,24,209,0,0,209,71,138,Null,1132,173,1305,672,27,699,3605,0,-2999,606,16,36,1.06,198769,17,15261,4,18207,1,0,0,232237,22
G大阪,ガンバ大阪,14,2022,J1,J1,5969,2088,701,432,195,0,529,2024,5742,2837,393,346,311,0,435,193,1227,227,27,150,104,0,0,104,0,104,Null,780,1382,2162,1651,58,1709,10,0,443,453,15,37,1.09,300372,17,19176,3,0,0,0,0,319548,20
